date,code,amount_cents,,balance
16/11/29 22:56,CASINO_WIN,1000,,1000
16/11/29 22:56,CASINO_WIN,5,,1005
16/11/29 22:58,CASINO_BET,-5,,1000
16/11/29 22:58,CASINO_WIN,5,,1005
16/11/30 0:08,CASINO_BET,-5,,1000
16/11/30 0:08,CASINO_WIN,5,,1005
16/11/30 0:10,CASINO_BET,-5,,1000
16/11/30 0:10,CASINO_WIN,5,,1005
16/11/30 0:10,CASINO_BET,-5,,1000
16/11/30 0:10,CASINO_BET,-5,,995
16/11/30 0:10,CASINO_WIN,5,,1000
16/11/30 0:10,CASINO_WIN,5,,1005
16/11/30 0:10,CASINO_BET,-5,,1000
16/11/30 0:11,CASINO_WIN,1000,,2000
16/11/30 0:11,CASINO_WIN,1000,,3000
16/11/30 0:11,CASINO_ROLLBACK_WIN,-1000,,2000
16/11/30 0:11,CASINO_BET,-1000,,1000
16/11/30 0:12,CASINO_WIN,5,,1005
16/11/30 0:12,CASINO_BET,-5,,1000
16/11/30 0:12,CASINO_WIN,5,,1005
16/11/30 0:13,CASINO_BET,-5,,1000
16/11/30 0:13,CASINO_WIN,1000,,2000
16/11/30 0:13,CASINO_ROLLBACK_WIN,-1000,,1000
16/11/30 0:13,CASINO_BET,-999,,1
16/11/30 0:13,CASINO_BET,-1,,0
16/11/30 0:14,CASINO_WIN,10000,,10000
16/11/30 0:15,CASINO_WIN,1450,,11450
16/11/30 0:15,CASINO_BET,-11449,,1
16/11/30 0:15,CASINO_BET,-1,,0
16/11/30 0:15,CASINO_WIN,10000,,10000
16/11/30 0:15,CASINO_WIN,1450,,11450
16/11/30 0:16,CASINO_BET,-275,,11175
16/11/30 0:16,CASINO_BET,-11175,,0
16/11/30 0:18,CASINO_WIN,100,,100
16/11/30 0:18,CASINO_WIN,100,,200
16/11/30 0:18,CASINO_WIN,100,,300
16/11/30 0:19,CASINO_WIN,9700,,10000
16/11/30 0:19,CASINO_BET,-5,,9995
16/11/30 0:20,CASINO_BET,-9996,,-1
16/11/30 6:08,BALANCE_ADJUST,1,,0
