CountryID,CountryDescription
1,Afghanistan
2,Albania
3,Algeria
4,American Samoa
5,Andorra
6,Angola
7,Anguilla
8,Antarctica
9,Antigua and Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Ascension Island
14,Australia
15,Austria
16,Azerbaijan
17,Bahamas
18,Bahrain
19,Bangladesh
20,Barbados
21,Belarus
22,Belgium
23,Belize
24,Benin
25,Bermuda
26,Bhutan
27,Bolivia
28,Bosnia and Herzegovina
29,Botswana
30,Bouvet Island
31,Brazil
32,British Virgin Islands
33,British Indian Ocean Territory
34,Brunei Darussalam
35,Bulgaria
36,Burkina Faso
37,Burundi
38,Cambodia
39,Cameroon
40,Canada
41,Cape Verde
42,Cayman Islands
43,Central African Republic
44,Chad
45,Chile
46,China
47,Christmas Island
48,Cocos (Keeling) Island
49,Colombia
50,Comoros
51,"Congo, Republic of"
52,"Congo, Democratic Republic of"
53,Cook Islands
54,Costa Rica
55,Cote dIvoire
56,Croatia
57,Cuba
58,Cyprus
59,Czech Republic
60,Denmark
61,Djibouti
62,Dominica
63,Dominican Republic
64,Ecuador
65,Egypt
66,El Salvador
67,Equatorial Guinea
68,Eritrea
69,Estonia
70,Ethiopia
71,Falkland Islands (Malvinas)
72,Faroe Islands
73,Fiji
74,Finland
75,France
76,French Guiana
77,French Polynesia
78,French Southern Territories
79,Gabon
80,Gambia
81,Georgia
82,Germany
83,Ghana
84,Gibraltar
85,Greece
86,Greenland
87,Grenada
88,Guadeloupe
89,Guam
90,Guatemala
91,Guernsey
92,Guinea
93,Guinea-Bissau
94,Guyana
95,Haiti
96,Heard and McDonald Islands
97,Honduras
98,Hong Kong
99,Hungary
100,Iceland
101,India
102,Indonesia
103,Iran
104,Iraq
105,Ireland
106,Isle of Man
107,Israel
108,Italy
109,Jamaica
110,Japan
111,Jersey
112,Jordan
113,Kazakhstan
114,Kenya
115,Kiribati
116,"Korea, North"
117,"Korea, South"
118,Kuwait
119,Kyrgyzstan
120,Laos
121,Latvia
122,Lebanon
123,Lesotho
124,Liberia
125,Libya
126,Liechtenstein
127,Lithuania
128,Luxembourg
129,Macau
130,Macedonia
131,Madagascar
132,Malawi
133,Malaysia
134,Maldives
135,Mali
136,Malta
137,Marshall Islands
138,Martinique
139,Mauritania
140,Mauritius
141,Mayotte
142,Mexico
143,Micronesia
144,Moldova
145,Monaco
146,Mongolia
147,Montenegro
148,Montserrat
149,Morocco
150,Mozambique
151,Myanmar
152,Namibia
153,Nauru
154,Nepal
155,Netherlands
156,Netherlands Antilles
157,New Caledonia
158,New Zealand
159,Nicaragua
160,Niue
161,Niger
162,Nigeria
163,Norfolk Island
164,Northern Mariana Islands
165,Norway
166,Oman
167,Pakistan
168,Palau
169,"Palestinian Territory, Occupied"
170,Panama
171,Papua New Guinea
172,Paraguay
173,Peru
174,Philippines
175,Pitcairn Island
176,Poland
177,Portugal
178,Puerto Rico
179,Qatar
180,Reunion
181,Romania
182,Russia
183,Rwanda
184,Saint Barthelemy
185,Saint Helena
186,Saint Kitts and Nevis
187,Saint Lucia
188,Saint Martin
189,Saint Pierre and Miquelon
190,Saint Vincent and the Grenadines
191,Samoa
192,San Marino
193,Sao Tome and Principe
194,Saudia Arabia
195,Senegal
196,Serbia
197,Seychelles
198,Sierra Leone
199,Singapore
200,Slovakia
201,Slovenia
202,Solomon Islands
203,Somalia
204,South Africa
205,South Georgia and the South Sandwich Islands
206,Spain
207,Sri Lanka
208,Sudan
209,Suriname
210,Svalbard and Jan Mayen Islands
211,Swaziland
212,Sweden
213,Switzerland
214,Syria
215,Taiwan
216,Tajikistan
217,Tanzania
218,Thailand
219,Timor-Leste
220,Togo
221,Tokelau
222,Tonga
223,Trinidad and Tobago
224,Tunisia
225,Turkey
226,Turkmenistan
227,Turks and Caicos Islands
228,Tuvalu
229,Uganda
230,Ukraine
231,United Arab Emirates
232,United Kingdom
233,United States of America
234,United States Virgin Islands
235,Uruguay
236,US Minor Outlying Islands
237,USSR
238,Uzbekistan
239,Vanuatu
240,Vatican City State (Holy See)
241,Venezuela
242,Vietnam
243,Wallis and Futuna Islands
244,Western Sahara
245,Yemen
246,Yugoslavia
247,Zambia
248,Zimbabwe
249,N/A
250,n/a
251,Serbia
252,Curacao
253,Scotland
